2019-08-02 02:25:55  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 02:25:55  | My Order List is  [] 
2019-08-02 02:25:55  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-08-02 02:25:55  | Spawn Trader  dongwkim-trader1 
2019-08-02 02:25:55  | Current Trader is dongwkim-trader1
2019-08-02 02:25:55  | Get Last Order from Redis
2019-08-02 03:15:25  | TEST  | Price: p:318.1/b:318.1/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  318/ 318 | deal (0) | bal:223,036  
2019-08-02 03:15:56  | TEST  | Price: p:318.1/b:318.1/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  318/ 318 | deal (0) | bal:223,036  
2019-08-02 03:16:09  | TEST  | Price: p:318.1/b:318.1/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  318/ 318 | deal (0) | bal:223,036  
2019-08-02 03:16:11  | TEST  | Price: p:318.1/b:318.1/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  318/ 318 | deal (0) | bal:223,036  
2019-08-02 03:20:47  | TEST  | Price: p:318.1/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:223,036  
2019-08-02 03:20:47  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
2019-08-02 03:20:50  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
2019-08-02 03:20:52  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
2019-08-02 03:20:55  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
2019-08-02 03:20:57  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
2019-08-02 03:21:01  | TEST  | Price: p:318.0/b:318.0/a:321.9/l:313 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.0%)/  -0(-0.0%) Avg:  318/ 318 | deal (0) | bal:222,965  
