2019-08-06 00:51:47  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:51:47  | My Order List is  [] 
2019-08-06 00:51:47  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-08-06 00:51:47  | Spawn Trader  dongwkim-trader1 
2019-08-06 00:51:47  | Current Trader is dongwkim-trader1
2019-08-06 00:51:47  | Get Last Order from Redis
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.2/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.3/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.4/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.5/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.5/a:324.8/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.5/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.6/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.7/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:321.6/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:322.0/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
2019-08-06 00:49:18  | TEST  | Price: p:324.6/b:322.2/a:324.9/l:318 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  324/ 325 | deal (0) | bal:227,593  
