2019-10-11 06:01:54  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 1.249846 coins 
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 06:01:54  | My Order List is  [] 
2019-10-11 06:01:54  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-10-11 06:01:54  | Spawn Trader  dongwkim-trader1 
2019-10-11 06:01:54  | Current Trader is dongwkim-trader1
2019-10-11 06:01:54  | Get Last Order from Redis
2019-10-11 05:52:00  | Price: p:323.5/b:323.2/a:323.6/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   0(0.0%)/  0(0.0%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,038  
2019-10-11 06:19:41  | Price: p:324.1/b:323.3/a:324.1/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.2%)/  0(0.2%)/  0(0.2%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:19:41  | Price: p:324.1/b:323.4/a:324.1/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.2%)/  0(0.2%)/  0(0.2%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:19:41  | Price: p:324.1/b:323.6/a:324.1/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.2%)/  0(0.2%)/  0(0.2%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:19:41  | Price: p:324.1/b:323.6/a:324.2/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.2%)/  0(0.2%)/  0(0.2%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:19:41  | Price: p:324.1/b:323.7/a:324.2/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.2%)/  0(0.2%)/  0(0.2%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.7/a:324.4/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:324.0/a:324.8/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:324.1/a:324.9/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:324.2/a:324.9/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.9/a:324.9/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.9/a:324.7/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.9/a:324.9/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.9/a:324.6/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.8/a:324.6/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.7/a:324.5/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.7/a:324.4/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.7/a:324.3/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.7/a:324.1/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
2019-10-11 06:23:36  | Price: p:324.4/b:323.6/a:324.1/l:324 | Buy/Sell/Vol:    0/   0/0.000 | Delta:   1(0.3%)/  1(0.2%)/  0(0.0%) Avg:  324/ 324 | deal (0) | bal:456,039  
