2019-09-15 16:12:44  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | My Order List is  [] 
2019-09-15 16:12:44  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-15 16:12:44  | Spawn Trader  dongwkim-trader1 
2019-09-15 16:12:44  | Current Trader is dongwkim-trader1
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.9/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.4%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.9/a:311.6/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.9/a:311.9/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.9/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:20:03  | TEST  | Price: p:310.9/b:310.8/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:217,987  
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:311.0/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:311.0/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:310.8/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
