2019-07-02 21:26:03  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 20.991812 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:26:03  | My Order List is  [] 
2019-07-02 21:26:03  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-02 21:26:03  | Spawn Trader  dongwkim-trader1 
2019-07-02 21:26:03  | Current Trader is dongwkim-trader1
2019-07-02 21:26:03  | Get Last Order from Redis
2019-07-02 21:24:04  | TEST  | Price: p:434.1/b:434.3/a:435.0/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    4(0.9%)/   0(0.0%)/   0(0.0%) Avg:  432/ 434 | deal (0) | bal:304,369  
2019-07-02 21:24:04  | TEST  | Price: p:434.1/b:434.3/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  432/ 434 | deal (0) | bal:304,369  
2019-07-02 21:24:04  | TEST  | Price: p:434.1/b:432.1/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  432/ 434 | deal (0) | bal:304,369  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.1/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -3(-0.7%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.3/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -3(-0.7%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.4/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -3(-0.7%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.3/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -3(-0.7%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.4/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -3(-0.7%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.7/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.8/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:28:06  | TEST  | Price: p:432.1/b:432.7/a:436.9/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/  -2(-0.5%)/   0(0.0%) Avg:  432/ 433 | deal (0) | bal:302,967  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.7/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.8/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.7/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:433.0/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.7/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:433.1/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.7/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:433.2/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:433.3/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.7/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.8/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
2019-07-02 21:29:56  | TEST  | Price: p:437.0/b:432.9/a:439.8/l:449 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    6(1.5%)/   3(0.7%)/   0(0.0%) Avg:  432/ 435 | deal (0) | bal:306,402  
