2017-12-22 10:40:53 | Price: p:1660/b:1660/a:1661/l:1694 | Buy: 0/0 |  1Hr: delta: -86 1623/1693/1765 tx: 2616 | 10Min: delta:  -7 1646/1658/1667 |  tx: 377 lat:   58 ms| bidding (0) | balance:101428  
2017-12-22 10:40:55 | Price: p:1660/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -87 1623/1693/1765 tx: 2613 | 10Min: delta:  -7 1646/1658/1667 |  tx: 376 lat:  112 ms| bidding (0) | balance:101428  
2017-12-22 10:40:59 | Price: p:1660/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -90 1623/1693/1765 tx: 2606 | 10Min: delta:  -7 1646/1658/1667 |  tx: 378 lat:  111 ms| bidding (0) | balance:101428  
2017-12-22 10:41:03 | Price: p:1660/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -90 1623/1692/1765 tx: 2605 | 10Min: delta:  -4 1646/1658/1667 |  tx: 381 lat:  164 ms| bidding (0) | balance:101428  
2017-12-22 10:41:05 | Price: p:1660/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -90 1623/1692/1765 tx: 2596 | 10Min: delta:  -4 1646/1658/1667 |  tx: 381 lat:   65 ms| bidding (0) | balance:101428  
2017-12-22 10:41:09 | Price: p:1659/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -96 1623/1692/1765 tx: 2588 | 10Min: delta:  -5 1646/1658/1667 |  tx: 382 lat:   62 ms| bidding (0) | balance:101428  
2017-12-22 10:41:13 | Price: p:1660/b:1659/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -89 1623/1692/1765 tx: 2588 | 10Min: delta:  -7 1646/1658/1667 |  tx: 382 lat:   60 ms| bidding (0) | balance:101428  
2017-12-22 10:41:16 | Price: p:1659/b:1658/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -89 1623/1692/1765 tx: 2587 | 10Min: delta:  -7 1646/1658/1667 |  tx: 382 lat:   61 ms| bidding (0) | balance:101428  
2017-12-22 10:41:18 | Price: p:1659/b:1658/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -91 1623/1692/1765 tx: 2584 | 10Min: delta:  -6 1646/1658/1667 |  tx: 384 lat:   64 ms| bidding (0) | balance:101428  
2017-12-22 10:41:19 | Price: p:1659/b:1658/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -98 1623/1692/1765 tx: 2584 | 10Min: delta:  -7 1646/1658/1667 |  tx: 386 lat:   65 ms| bidding (0) | balance:101428  
