2017-12-21 04:06:42 | Price: p:1035000/b:1034850/a:1035000 | Buy: 0/0 |  1Hr: delta: -7300 1033700/1042607/1056300 tx: 211 | 10Min: delta: -1800 1035000/1036658/1037200 |  tx:  28 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:06:42 | Price: p:1036700/b:1035000/a:1036650 | Buy: 0/0 |  1Hr: delta: -7300 1033700/1042607/1056300 tx: 211 | 10Min: delta: -1800 1035000/1036658/1037200 |  tx:  28 lat:   44 ms| bidding (0) | balance:100000  
2017-12-21 04:06:43 | Price: p:1035000/b:1034850/a:1035000 | Buy: 0/0 |  1Hr: delta: -7300 1033700/1042607/1056300 tx: 211 | 10Min: delta: -1800 1035000/1036658/1037200 |  tx:  28 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:06:44 | Price: p:1035000/b:1034850/a:1036650 | Buy: 0/0 |  1Hr: delta: -7450 1033700/1042534/1056300 tx: 213 | 10Min: delta: -1950 1034850/1036538/1037200 |  tx:  30 lat:   64 ms| bidding (0) | balance:100000  
2017-12-21 04:06:46 | Price: p:1034850/b:1034700/a:1036650 | Buy: 0/0 |  1Hr: delta: -7450 1033700/1042534/1056300 tx: 213 | 10Min: delta: -1950 1034850/1036538/1037200 |  tx:  30 lat:   44 ms| bidding (0) | balance:100000  
2017-12-21 04:06:49 | Price: p:1034850/b:1034950/a:1037050 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042462/1056300 tx: 215 | 10Min: delta: -2100 1034700/1036431/1037200 |  tx:  32 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:06:50 | Price: p:1034850/b:1034700/a:1036650 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042462/1056300 tx: 215 | 10Min: delta: -2100 1034700/1036431/1037200 |  tx:  32 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:06:50 | Price: p:1034700/b:1034700/a:1037050 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042462/1056300 tx: 215 | 10Min: delta: -2100 1034700/1036431/1037200 |  tx:  32 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:07:10 | Price: p:1037050/b:1034700/a:1037050 | Buy: 0/0 |  1Hr: delta: -5250 1033700/1042437/1056300 tx: 216 | 10Min: delta: 250 1034700/1036450/1037200 |  tx:  33 lat:   93 ms| bidding (0) | balance:100000  
2017-12-21 04:07:14 | Price: p:1034700/b:1034700/a:1037050 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042401/1056300 tx: 217 | 10Min: delta: -2100 1034700/1036398/1037200 |  tx:  34 lat:   46 ms| bidding (0) | balance:100000  
