2018-01-05 03:39:48 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/ -17/  -8 Avg: 4465/4419 |  lat:   50 ms| bidding (0) | balance:500000  
2018-01-05 03:39:59 | Price: p:4409/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/   5/ -11 Avg: 4464/4419 |  lat:   67 ms| bidding (0) | balance:500000  
2018-01-05 03:40:11 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -135/ -14/ -10 Avg: 4464/4419 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:40:13 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -135/ -14/ -10 Avg: 4464/4419 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:40:17 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -135/ -10/ -10 Avg: 4464/4419 |  lat:   62 ms| bidding (0) | balance:500000  
2018-01-05 03:40:17 | Price: p:4410/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/   9/ -11 Avg: 4464/4421 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:40:20 | Price: p:4409/b:4409/a:4410/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/ -15/  -8 Avg: 4464/4422 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:40:22 | Price: p:4409/b:4406/a:4409/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/ -15/  -8 Avg: 4464/4422 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:40:26 | Price: p:4409/b:4406/a:4409/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/ -15/  -7 Avg: 4464/4421 |  lat:   87 ms| bidding (0) | balance:500000  
2018-01-05 03:40:30 | Price: p:4405/b:4402/a:4406/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -136/ -15/  -7 Avg: 4464/4421 |  lat:   64 ms| bidding (0) | balance:500000  
2018-01-05 03:40:31 | Price: p:4401/b:4402/a:4406/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -144/ -23/ -15 Avg: 4463/4421 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:40:43 | Price: p:4400/b:4400/a:4406/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/  -4/ -10 Avg: 4462/4419 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:40:44 | Price: p:4400/b:4400/a:4406/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/  -4/ -10 Avg: 4461/4418 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:40:45 | Price: p:4399/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/  -4/ -10 Avg: 4461/4417 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:40:46 | Price: p:4400/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/  -4/  -9 Avg: 4461/4417 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:40:48 | Price: p:4400/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/ -24/  -9 Avg: 4461/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:40:57 | Price: p:4400/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -147/  -5/  -9 Avg: 4460/4417 |  lat:   63 ms| bidding (0) | balance:500000  
2018-01-05 03:41:00 | Price: p:4409/b:4390/a:4409/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -138/   4/   0 Avg: 4460/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:41:04 | Price: p:4390/b:4390/a:4409/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -157/ -15/ -19 Avg: 4460/4416 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:41:04 | Price: p:4390/b:4390/a:4406/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -157/ -15/ -20 Avg: 4460/4416 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:41:19 | Price: p:4405/b:4390/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -142/   0/  -4 Avg: 4460/4416 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:41:19 | Price: p:4405/b:4392/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -140/   1/   3 Avg: 4460/4417 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:41:19 | Price: p:4405/b:4393/a:4398/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -139/   2/   5 Avg: 4460/4417 |  lat:   59 ms| bidding (0) | balance:500000  
2018-01-05 03:41:56 | Price: p:4398/b:4393/a:4435/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -146/ -17/  -2 Avg: 4459/4417 |  lat:   64 ms| bidding (0) | balance:500000  
2018-01-05 03:41:54 | Price: p:4398/b:4393/a:4398/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -146/ -17/  -2 Avg: 4459/4417 |  lat:   71 ms| bidding (0) | balance:500000  
2018-01-05 03:41:56 | Price: p:4398/b:4398/a:4435/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -146/ -17/   8 Avg: 4459/4417 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:41:56 | Price: p:4398/b:4400/a:4435/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -146/ -17/   8 Avg: 4459/4417 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:42:06 | Price: p:4400/b:4400/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -144/  -4/  -5 Avg: 4459/4416 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:42:09 | Price: p:4400/b:4400/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -144/ -24/  -5 Avg: 4459/4416 |  lat:   58 ms| bidding (0) | balance:500000  
2018-01-05 03:42:12 | Price: p:4400/b:4400/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -144/  -4/  -5 Avg: 4459/4416 |  lat:   85 ms| bidding (0) | balance:500000  
